"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"SRPA"	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	6	0	0	0	0	2	0	0	0	0	2	0	2	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	2	0	0	0	6	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2
"SRPB"	1	0	4	19	2	0	10	6	11	26	2	5	0	42	12	8	8	11	4	6	0	0	12	2	32	2	0	22	11	4	93	0	13	6	9	0	0	8	6	2	4	2	5	0	2	0	3	8	35	0	31	2	3	7	0	7	10	2	20	3	2	0	0	5	0	23	0	2	2	13	2	32	69	7	12	6	0	14	6	189
"SRPC"	0	0	0	0	0	0	8	0	2	0	0	0	0	4	2	4	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	2	0	0	2	0	4	0	0	0	0	0	0	0	2	0	2	6	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	8
"SRPCC"	0	0	0	2	0	0	2	0	2	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	4	0	2	0	0	4	2	0	4	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	0	4	0	0	6	0	2	0	0
"SRPR"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
"SRPS"	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	4	2
"SRT"	4	4	2	2	0	0	2	4	10	22	0	8	6	10	2	0	6	6	0	4	0	2	2	0	4	4	2	0	2	0	10	2	8	6	6	0	2	2	4	14	2	2	4	0	0	0	0	0	0	6	4	0	6	0	0	0	4	0	4	0	4	0	0	0	8	2	0	4	0	8	6	6	4	26	0	8	2	0	2	18
"SSME"	0	0	0	0	2	0	2	0	4	2	0	0	0	2	0	2	2	0	0	2	2	0	2	0	2	4	2	4	0	0	4	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	2	2	4	0	0	0	0	0	4
"STA"	0	0	0	2	2	0	0	0	2	2	0	0	0	0	4	0	2	2	0	0	0	0	0	2	0	0	0	0	2	0	8	0	4	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	4	0	0	0	4
"SUGE"	0	4	0	0	0	0	11	0	6	0	0	0	0	0	0	1	2	2	0	2	23	0	0	0	2	9	0	0	2	23	0	0	0	2	0	1	1	0	0	0	2	0	0	0	0	0	2	0	2	83	0	0	0	5	0	0	0	0	0	0	7	0	0	0	37	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
"SULI"	2	0	27	2	2	0	10	92	2	596	0	7	0	58	8	0	3	9	0	6	25	0	0	0	7	0	0	13	20	2	48	1	19	12	7	2	0	3	38	10	2	0	4	1	0	0	4	0	51	1	20	0	13	12	0	0	0	0	58	0	6	0	0	13	0	30	0	0	0	4	0	36	14	7	18	14	0	8	5	213
"SULII"	0	7	125	12	0	0	2	232	5	1878	0	12	0	167	15	10	2	14	4	12	226	0	3	0	64	2	0	35	36	0	115	5	9	25	1	9	8	3	195	16	2	2	10	4	2	0	27	7	304	74	73	3	112	28	0	2	25	0	56	1	4	0	0	34	2	71	6	3	2	9	0	73	127	22	24	7	2	71	42	444
"SULIII"	2	2	0	0	0	0	4	0	2	0	0	0	0	2	0	2	4	2	0	0	0	0	0	2	2	0	2	0	0	4	0	0	0	0	0	0	2	4	2	4	0	0	4	0	0	0	2	0	0	2	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	2	6	0	2	0	0	0	8
"SULIV"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	4	0	0	6	0	2	0	0	0	0	0	2	0	3	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	2	3	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	2	0	2	0	2	0	0	0	0
"SULR"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	4	0	0	0	0	0	4	0	0	0	0	0	0
"SULX"	0	0	0	0	0	0	0	0	2	2	0	4	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	6	0	0	0	0
"TAEA"	6	2	0	12	0	0	14	0	12	23	8	2	0	5	6	4	2	19	0	1	10	0	0	4	6	2	0	0	10	4	10	6	10	6	10	2	2	4	8	10	4	0	14	0	0	2	0	6	11	0	6	6	4	7	0	0	6	2	7	0	20	0	0	0	4	0	4	8	0	2	2	4	2	14	3	14	4	0	0	10
"TAP"	2	0	0	4	2	0	0	0	0	4	0	9	0	2	2	0	4	4	0	0	0	2	0	0	6	0	2	0	2	0	9	2	4	4	6	0	0	0	2	0	0	0	2	0	2	0	0	0	2	0	8	2	0	2	0	0	0	2	0	0	2	0	0	0	2	0	0	2	2	6	0	4	2	12	2	6	2	0	0	11
"TBTA"	0	4	2	2	0	0	1	2	0	2	0	5	5	11	2	0	2	9	0	8	0	0	2	0	6	0	0	7	4	2	13	1	5	5	0	0	2	0	0	8	4	2	2	0	2	2	0	5	2	2	0	3	4	2	0	0	2	0	1	0	2	0	0	0	2	3	2	2	4	3	0	7	23	0	4	0	0	1	0	33
"TBTB"	0	22	11	27	0	0	12	12	22	55	2	33	2	182	25	4	12	23	3	30	0	4	32	2	9	0	0	91	42	2	173	4	50	35	22	2	11	18	22	25	10	4	27	0	0	0	7	7	70	2	46	2	6	14	0	2	4	2	129	8	16	0	0	16	2	101	2	9	2	18	6	125	221	24	52	25	2	68	17	941
"TBTM"	4	1	4	3	2	0	8	3	6	14	4	6	4	7	18	4	2	4	2	4	0	0	2	0	10	2	0	10	0	0	14	0	6	15	4	0	0	4	3	12	2	0	0	2	0	0	2	0	5	4	0	0	10	6	0	0	0	0	12	0	4	0	0	6	2	4	0	0	0	2	0	11	9	4	4	4	0	1	7	21
"TBTR"	0	0	0	2	0	0	2	2	4	24	2	0	0	10	0	0	0	4	2	0	0	0	0	2	0	4	0	0	0	0	9	0	2	0	2	4	0	0	0	2	0	0	2	0	0	0	2	0	2	0	0	0	0	6	0	0	0	0	6	0	2	0	0	0	4	0	0	2	0	0	0	6	6	2	8	0	0	0	0	18
"TCMA"	4	0	0	4	0	0	0	0	4	6	2	16	0	2	6	0	10	8	0	0	0	0	0	0	10	0	2	0	2	0	10	0	8	4	8	0	0	0	2	8	0	0	2	0	0	2	4	6	4	0	2	2	2	6	0	0	0	0	2	2	18	0	0	0	0	0	0	2	0	0	0	6	2	0	0	12	2	0	4	12
"TCR3"	0	0	9	10	0	0	6	2	2	10	4	7	0	6	2	0	2	8	0	4	0	0	4	0	8	0	0	1	2	0	10	2	10	2	10	0	2	2	3	2	0	2	4	0	0	0	2	4	10	0	8	1	2	2	0	0	0	0	4	2	12	0	0	0	6	4	2	2	0	8	0	0	2	8	4	10	0	2	0	8
"TCRA"	2	4	6	71	8	0	12	0	429	27	7	2	4	15	4	0	2	324	2	1	4	0	11	2	19	0	4	10	3	4	44	0	6	31	31	3	2	24	13	14	3	8	10	0	0	8	0	13	34	0	4	8	8	0	0	0	0	0	1	2	11	0	0	4	2	25	17	4	0	23	8	9	25	21	11	73	6	31	4	221
"TCRB"	0	0	6	38	0	0	0	0	200	30	6	0	4	15	2	2	0	132	7	0	0	0	7	2	16	6	0	1	0	0	22	0	1	6	21	0	1	22	9	9	5	0	10	0	10	2	0	0	15	0	0	4	8	0	0	0	0	0	5	4	4	0	0	5	5	8	5	2	2	21	5	2	16	24	2	18	0	24	2	129
"TCRY"	0	0	2	9	0	0	0	0	46	6	2	0	0	1	0	0	0	21	0	0	0	0	2	0	5	2	2	0	0	0	2	0	0	2	7	2	1	7	1	4	1	0	0	0	0	0	0	1	2	2	0	0	0	2	0	0	2	0	0	0	4	0	0	0	1	2	0	2	0	1	0	4	7	2	0	3	0	4	0	20
"TCRZ"	0	0	1	4	0	0	0	0	26	0	0	0	0	1	0	0	0	22	0	0	0	0	1	0	3	0	0	0	0	0	3	0	0	2	2	0	0	0	1	2	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	0	2	2	1	4	0	1	4	0	5	2	19
"TEHA"	1	1	4	0	0	0	6	0	0	12	0	0	0	2	0	0	2	2	0	0	31	0	0	0	5	9	0	1	2	30	0	2	0	4	6	2	0	2	0	0	0	0	4	0	0	0	0	0	0	66	2	0	0	5	0	1	0	0	0	0	10	0	0	0	109	0	2	6	0	2	0	4	2	2	0	1	2	0	4	6
"TEHB"	2	1	0	2	0	0	4	0	2	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	2	2	0	2	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	30	0	0	0	7	0	1	0	0	0	0	8	0	0	0	54	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
"TEM"	3	0	0	6	0	0	12	2	12	18	2	0	0	4	6	1	2	12	2	0	16	0	0	2	2	31	0	4	0	2	20	2	2	2	2	0	0	0	4	19	0	4	10	0	2	0	0	2	3	110	6	0	3	4	0	2	4	0	5	0	4	0	0	2	73	2	0	8	0	2	2	11	12	10	0	6	0	8	1	22
"TER"	2	0	0	2	0	0	4	0	2	6	0	4	0	0	10	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	8	4	0	0	0	0	0	2	0	16	0	0	0	0	0	0	4	0	2	0	2	0	2	10	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0
"TERB"	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	2	6	0	0	0	2	0	0	0	0	2	0	2	0	2	0	0	4	6	0	0	2	0	8	0	0	4	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	2
"TERC"	0	0	2	0	2	0	0	0	2	15	0	0	0	0	0	0	2	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	50	0	0	4	0	6	0	2	2	2	0	0	0	0	2	2
"TERD"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	2	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	2	0	0	2	0	0	0	4	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	2	0	2	0	0	0	0	0	4	0	0	0	0
"TERE"	0	4	0	0	0	0	2	0	0	2	0	6	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	33	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0
"TERW"	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	32	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2
"TERZ"	2	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	2	5	0	0	8	0	0	0	2	1	0	0	2	0	4	0	0	2	0	0	0	0	2	2	0	2	0	0	2	0	2	0	4	2	0	0	0	2	0	0	0	0	2	0	2	0	0	0	52	0	3	0	0	4	2	0	6	0	0	0	0	0	2	4
"TET16S|RequiresSNPConfirmation"	805	294	307	1865	453	79	1947	219	2713	2549	898	358	336	1020	1758	756	1850	4085	624	176	911	307	340	320	2096	752	195	581	425	791	1946	696	467	1988	3535	362	244	835	560	2812	760	574	1894	368	215	581	630	556	2213	155	1558	487	1061	2644	38	136	433	108	246	748	2586	1	8	120	530	538	350	1485	493	2073	322	1614	593	2444	324	3188	942	263	636	3773
"TET30"	0	2	0	0	0	0	2	0	0	8	0	2	0	0	4	0	4	0	0	0	0	0	0	0	4	2	0	0	0	0	10	2	2	4	0	0	0	2	0	0	0	2	4	0	0	0	4	0	2	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	2	2	0	4	0	2	0	2	0	0	0	2
"TET31"	4	2	57	10	0	0	0	32	2	368	0	0	0	37	5	0	2	3	0	0	1	0	0	0	8	0	0	26	7	2	7	2	0	0	2	4	3	2	61	4	2	0	1	1	0	0	22	0	128	0	23	0	22	20	0	0	10	0	36	2	2	0	0	15	0	29	0	0	0	2	0	15	17	4	0	6	2	33	7	71
"TET32"	56	8	10	10	3	0	28	0	28	12	16	6	10	6	78	7	73	66	13	2	23	5	0	2	68	24	0	6	0	14	14	84	6	35	73	21	4	8	8	50	17	3	35	4	2	11	15	8	10	1	54	18	12	106	0	1	16	0	10	14	156	0	0	2	4	7	1	114	15	12	4	96	3	37	10	18	24	2	58	80
"TET33"	2	0	18	2	0	0	9	50	0	263	0	4	0	6	4	0	2	8	0	2	0	0	0	0	3	2	0	2	20	0	16	0	12	1	4	0	0	0	3	0	0	0	1	0	0	0	0	0	11	2	8	2	14	2	0	0	2	0	3	2	0	0	0	4	0	26	0	0	0	0	2	10	5	7	2	0	0	6	0	122
"TET34"	0	0	2	0	0	0	0	0	0	0	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	4
"TET35"	0	0	0	0	0	0	5	0	5	6	2	0	0	0	0	0	5	10	2	0	0	0	0	0	4	0	0	0	0	0	2	0	0	5	10	0	0	3	2	5	0	2	2	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	1	4	0	0	2	0	6	0	1	0	3	0	7	1	4	1	9	2	0	2	2
"TET36"	2	0	11	82	0	0	0	0	5	1167	0	0	0	44	0	0	0	4	0	10	4	0	0	0	0	0	0	14	8	2	44	4	10	3	7	0	6	53	29	2	4	0	7	2	17	1	0	3	21	0	0	3	0	0	0	0	0	0	14	2	10	0	0	33	0	173	10	2	0	14	0	91	60	6	2	0	4	0	0	252
"TET37"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	2	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
"TET38"	2	0	2	6	0	0	2	0	0	10	2	0	2	4	2	0	3	12	2	0	0	0	0	2	4	0	0	0	2	2	6	0	2	0	8	0	4	4	2	2	2	0	2	0	0	0	4	0	10	4	2	2	4	2	0	0	0	0	2	2	4	0	0	0	16	0	0	0	0	6	0	0	2	0	2	8	0	2	0	10
"TET39"	0	2	0	8	2	0	0	3	0	26	6	6	0	0	2	0	0	7	0	1	2	0	0	0	26	0	0	6	0	0	0	0	4	6	0	0	0	0	4	2	0	0	4	2	1	0	0	0	54	0	2	0	0	2	0	0	6	0	2	2	2	0	0	0	0	2	0	0	0	0	0	2	4	3	0	0	0	4	4	12
"TET40"	372	0	79	43	8	1	589	0	61	16	21	17	44	4	343	341	79	136	11	0	1192	3	7	4	385	75	1	7	4	77	62	181	4	37	90	42	3	31	15	70	2	3	22	12	2	82	90	2	45	13	49	7	286	738	0	17	230	0	11	59	909	0	0	5	2	30	7	172	25	14	10	758	5	49	4	38	27	4	103	132
"TET42"	0	0	0	2	2	0	0	2	4	12	0	22	0	4	2	0	0	4	0	2	0	2	2	0	0	2	4	2	2	0	14	0	0	4	4	2	0	0	2	6	0	2	0	0	0	0	2	2	2	2	0	0	2	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	0	7
"TET43"	0	0	0	2	0	0	2	2	2	7	2	7	0	4	0	0	0	6	0	0	0	4	0	0	4	4	0	4	0	0	6	2	0	4	4	0	0	0	0	2	0	0	2	0	0	0	1	0	4	2	2	0	6	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	8	4	0	0	0	2	0	10
"TET44"	148	0	4	16	2	0	209	4	15	18	5	6	0	2	200	5	23	40	7	0	4	2	7	2	73	4	0	14	0	6	10	61	13	8	32	13	6	11	8	22	9	2	23	7	4	12	48	2	7	2	36	5	10	135	0	0	80	2	2	4	162	0	0	4	2	18	2	73	18	8	7	102	4	38	3	14	6	0	15	67
"TET45"	4	0	0	2	0	0	2	0	8	0	0	0	0	4	8	0	4	4	0	0	0	0	0	0	4	0	0	2	2	4	6	0	0	4	12	0	2	0	0	0	0	0	0	0	0	6	6	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	2	8	0	4	0	0	0	4
"TET47"	0	0	0	2	0	0	0	0	4	2	8	0	0	2	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	4	2	2	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0
"TET48"	0	0	0	10	0	0	4	0	2	6	0	4	0	6	2	0	4	10	2	0	2	0	0	0	0	0	0	2	4	2	8	0	2	0	4	0	0	4	4	2	4	0	6	0	0	0	0	0	8	0	0	0	0	6	0	0	0	0	4	0	4	0	0	0	2	2	2	0	0	2	0	2	2	6	2	6	6	0	2	20
"TET49"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	4	6	0	0	0	2	0	2	2	0	0	4	0	0	2	0	0	2	10	0	0	0	0	8	2	0	6	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	4	0	2	0	0	0	4
"TET50"	0	0	0	4	0	0	0	0	0	2	0	0	0	4	0	0	2	2	2	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	2	0	2	0	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	4	0	18	0	0	0	0	0	0	0	2	2	0	2	0	6	2	0	0	0	0	10
"TET51"	0	0	0	2	0	0	0	0	6	0	2	0	2	0	2	0	6	4	0	0	0	0	0	2	4	4	0	0	0	0	0	0	2	0	0	0	0	4	2	6	0	0	2	0	0	0	0	0	0	0	2	2	2	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	4
"TET52"	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	4	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	2	2	0	0	0	2	0	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	4	0	6	0	0	0	4	2	2	4	0	0	0	0	2	2	2	2	0	0	0	6
"TET53"	0	0	0	0	0	0	0	0	6	2	0	0	2	0	0	2	2	2	0	0	0	0	0	0	0	2	0	2	0	2	4	0	0	0	2	2	0	0	2	2	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	12	2	0	2	4	0	0	8
"TET54"	0	4	0	2	0	0	2	0	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	4	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	6	2	0	0	0	0	0	2
"TET55"	0	0	0	0	0	0	2	0	2	2	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	2	4	0	0	2	0	2	0	0	2	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
"TET56"	0	0	2	0	0	0	0	0	0	8	2	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	4	4	2	0	8	0	0	4	2	10	2	2	6	0	0	2	0	0	0	0	0	4	0	2	0	0	2	0	0	0	4	0	0	0	2	2	2	0	0	2	0	0	0	2	0	2	0	4	0	2
"TET57"	0	0	0	0	0	0	0	0	2	12	0	0	0	2	0	0	2	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	4	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	2	0	2	0	2	0	2
"TET58"	6	0	0	0	0	0	4	0	0	4	2	4	0	3	8	0	2	4	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	4	4	2	0	0	0	3	2	0	4	0	0	0	2	2	0	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	2	6	0	0	0	0	2	0	0	0	0
"TET59"	0	0	0	0	0	0	0	0	2	4	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	2	2	2	0	0	8	0	0	0	0	0	0	2	0	0	0	0	2	0	2	2	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	2
"TETA"	18	6	47	24	4	0	32	44	20	1041	16	36	4	63	33	7	15	35	4	2	17	2	4	0	38	10	4	8	9	2	61	14	20	34	55	0	9	12	35	38	4	5	35	2	5	5	11	5	61	11	35	6	28	33	0	2	9	4	11	6	35	0	0	7	16	15	7	12	12	14	4	15	30	48	5	28	10	8	15	81
"TETA46"	0	0	0	0	0	0	2	0	0	6	0	0	0	14	6	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	8	0	2	2	16	0	0	2	0	6	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	4	0	0	4	0	2	0	0	0	2	0	4	4	2	0	8	2	0	0	4
"TETA60"	0	0	0	6	4	0	2	0	4	6	4	0	0	4	6	2	0	2	0	4	0	0	2	0	8	0	0	2	2	0	8	2	2	2	12	0	2	0	0	0	2	2	2	0	0	0	0	2	8	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	4	0	0	0	0	4	2	0	6	2	0	0	10
"TETB"	1	2	1	4	2	0	12	0	0	24	0	0	0	32	2	0	2	7	0	0	57	0	2	0	7	2	2	0	13	0	47	6	4	6	2	0	2	0	4	6	2	0	8	0	0	0	0	0	13	88	6	2	1	2	0	0	5	0	0	0	12	0	0	6	4	4	2	3	0	4	0	5	11	2	2	4	0	2	8	14
"TETB46"	0	0	2	4	2	0	4	0	4	16	0	0	0	4	2	4	0	4	0	0	0	0	0	0	2	0	2	0	2	2	4	2	0	2	4	2	0	0	0	4	8	0	4	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	2	2	2	4	0	4	0	2	6	6	0	2	0	0	0	10
"TETB60"	0	0	0	2	0	0	0	0	0	4	0	0	0	4	0	0	4	6	0	0	0	0	0	0	2	0	0	0	2	0	2	2	0	0	0	0	0	2	0	10	0	0	0	2	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	4	0	4	2	0	0	8
"TETBP"	12	4	0	18	1	0	14	2	2	24	0	0	4	10	12	0	4	20	2	4	2	2	2	0	16	2	0	6	0	0	4	2	0	10	22	0	0	13	0	6	0	2	4	0	2	0	4	2	6	1	2	0	4	0	0	0	0	0	2	4	12	0	0	0	0	2	3	2	0	4	3	3	4	12	0	8	2	2	2	16
"TETC"	2	0	2	0	4	0	0	2	8	63	0	4	2	6	2	0	2	8	0	0	0	2	2	2	2	0	0	0	2	0	10	0	4	2	8	0	2	2	0	2	0	2	6	0	0	0	4	2	2	0	2	4	2	11	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	2	7	0	8	2	2	2	12
"TETD"	2	0	0	0	0	0	0	0	2	5	0	0	2	11	0	0	4	4	0	0	23	0	0	0	0	2	0	0	8	2	16	0	2	8	2	2	0	2	0	2	0	0	4	0	0	0	3	0	2	31	0	2	5	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	0	6	0	0	0	4	4	2	2	4
"TETE"	0	0	0	4	3	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	2	0	0	2	0	4	0	0	4	0	0	0	0	0	17	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	6	0	4	2	4	0	0	0	0	2	4
"TETG"	8	0	47	2	0	0	25	85	0	495	2	0	0	11	8	5	2	8	0	2	10	0	0	0	17	0	0	5	3	0	9	6	15	4	2	0	2	0	10	2	4	2	6	2	0	2	7	0	38	0	4	0	7	26	0	0	8	0	22	0	61	0	0	11	0	16	0	8	0	10	2	13	2	8	4	10	2	2	5	60
"TETH"	2	14	54	6	0	2	6	5	0	94	0	13	1	39	58	4	0	1	0	8	11	0	1	0	6	0	2	6	5	0	47	3	0	4	4	2	2	0	163	7	0	0	2	0	2	2	3	0	412	2	19	0	24	7	0	0	9	0	114	2	1	0	0	5	0	28	0	0	0	3	0	12	11	3	8	4	0	59	0	117
"TETJ"	2	0	0	2	0	0	2	0	4	30	0	0	0	8	0	0	0	6	0	0	0	0	0	0	6	2	0	4	2	0	0	0	0	2	4	0	2	2	6	0	0	0	0	0	0	2	0	2	10	0	2	0	2	2	0	0	0	0	0	0	2	0	0	0	2	4	0	0	0	2	0	2	2	4	2	4	0	0	0	14
"TETK"	2	4	4	18	2	0	2	1	6	29	2	0	2	7	8	2	4	20	0	0	2	0	4	0	9	0	0	2	0	0	6	2	12	8	2	0	0	0	2	2	4	0	10	2	2	4	0	0	24	0	8	2	4	10	2	0	2	0	0	2	8	0	0	0	0	0	2	4	0	6	0	0	6	10	0	12	2	0	2	26
